emoji,name,cos_sim_cad,cos_sim_prompt
🤾🏻,person_playing_handball_light_skin_tone,0.108439,0.093144
🧒🏼,child_medium-light_skin_tone,0.108306,0.140527
💆🏾,person_getting_massage_medium-dark_skin_tone,0.108253,0.072556
🎺,trumpet,0.108244,0.147050
👶,baby,0.108179,0.155784
💁🏾,person_tipping_hand_medium-dark_skin_tone,0.107830,-0.043761
☝🏽,index_pointing_up_medium_skin_tone,0.107826,-0.016173
🫩,face_with_bags_under_eyes,0.107807,0.147967
🕺🏼,man_dancing_medium-light_skin_tone,0.107747,0.161646
🪞,mirror,0.107747,0.086044
🥜,peanuts,0.107737,0.253305
💄,lipstick,0.107488,0.147947
🎐,wind_chime,0.107474,0.016564
🤹🏽,person_juggling_medium_skin_tone,0.107320,0.076957
☁️,cloud,0.107320,0.209743
🧛🏻,vampire_light_skin_tone,0.107150,0.182036
👍🏻,thumbs_up_light_skin_tone,0.107139,0.180910
👸🏽,princess_medium_skin_tone,0.107047,0.077824
🤗,smiling_face_with_open_hands,0.106909,0.115930
🎹,musical_keyboard,0.106877,0.183554
🌶️,hot_pepper,0.106849,0.174723
💃🏾,woman_dancing_medium-dark_skin_tone,0.106783,-0.006040
🥘,shallow_pan_of_food,0.106672,0.193023
🪴,potted_plant,0.106659,0.221054
🧚🏻‍♀️,woman_fairy_light_skin_tone,0.106485,0.278621
🐶,dog_face,0.106482,0.246596
🕰️,mantelpiece_clock,0.106435,0.148991
🤲🏼,palms_up_together_medium-light_skin_tone,0.106370,0.193624
😺,grinning_cat,0.106187,0.226549
🪊,trombone,0.106091,0.120800
🧕🏼,woman_with_headscarf_medium-light_skin_tone,0.106034,0.151251
🐔,chicken,0.105742,0.185341
🧘,person_in_lotus_position,0.105689,0.104024
🚅,bullet_train,0.105686,0.064875
🎨,artist_palette,0.105660,0.197604
🥍,lacrosse,0.105648,0.124677
👏🏾,clapping_hands_medium-dark_skin_tone,0.105555,-0.020069
🚭,no_smoking,0.105474,0.050471
🐧,penguin,0.105472,0.196207
🕯️,candle,0.105376,0.146812
🫸🏾,rightwards_pushing_hand_medium-dark_skin_tone,0.105217,0.066932
🥙,stuffed_flatbread,0.105215,0.201437
🐯,tiger_face,0.105060,0.211436
😸,grinning_cat_with_smiling_eyes,0.105052,0.202703
🐒,monkey,0.105020,0.208788
🖐🏻,hand_with_fingers_splayed_light_skin_tone,0.104946,-0.000241
🧥,coat,0.104529,0.063915
👱🏻,person_light_skin_tone_blond_hair,0.104486,0.052665
🛌🏽,person_in_bed_medium_skin_tone,0.104238,0.184967
9️⃣,keycap_9,0.104155,0.126855
🦸🏾,superhero_medium-dark_skin_tone,0.104101,0.104277
🤸,person_cartwheeling,0.104066,0.107761
🦝,raccoon,0.103888,0.146228
🌏,globe_showing_Asia-Australia,0.103818,0.207776
🦕,sauropod,0.103791,0.220138
❄️,snowflake,0.103776,0.243575
🤼🏻,people_wrestling_light_skin_tone,0.103738,0.111293
👊🏼,oncoming_fist_medium-light_skin_tone,0.103675,0.096624
✌🏾,victory_hand_medium-dark_skin_tone,0.103450,-0.037337
🎶,musical_notes,0.103309,0.165763
🫵,index_pointing_at_the_viewer,0.103265,0.138729
🪷,lotus,0.103208,0.100214
♨️,hot_springs,0.103176,0.005625
🤾🏼,person_playing_handball_medium-light_skin_tone,0.103045,0.131462
👍🏽,thumbs_up_medium_skin_tone,0.103041,0.198279
👭,women_holding_hands,0.103005,0.067613
🧋,bubble_tea,0.102896,0.049025
🔮,crystal_ball,0.102879,0.021554
🧉,mate,0.102878,0.011662
🥛,glass_of_milk,0.102869,0.204762
🦤,dodo,0.102805,0.128357
🔥,fire,0.102445,0.046927
☀,sun,0.102426,0.233977
👊🏽,oncoming_fist_medium_skin_tone,0.102389,0.062158
🥒,cucumber,0.102309,0.155067
🏸,badminton,0.101921,0.087387
🤹🏾,person_juggling_medium-dark_skin_tone,0.101803,0.027727
👼,baby_angel,0.101746,0.059735
🏋🏾,person_lifting_weights_medium-dark_skin_tone,0.101733,0.179852
🧓🏻,older_person_light_skin_tone,0.101572,0.044893
🤘,sign_of_the_horns,0.101415,0.164807
🧙,mage,0.101403,0.062732
🐺,wolf,0.101360,0.225636
🛵,motor_scooter,0.101317,0.080988
🐛,bug,0.101302,0.178057
🤪,zany_face,0.101226,0.071458
🫄🏼,pregnant_person_medium-light_skin_tone,0.101180,0.106833
🐷,pig_face,0.101159,0.179869
🦓,zebra,0.101144,0.116418
⚒️,hammer_and_pick,0.100974,0.072830
🦻,ear_with_hearing_aid,0.100881,0.000297
🥄,spoon,0.100842,0.093386
👍🏼,thumbs_up_medium-light_skin_tone,0.100836,0.199712
🫵🏻,index_pointing_at_the_viewer_light_skin_tone,0.100791,0.130889
🥬,leafy_green,0.100671,0.253237
🧚🏻‍♂️,man_fairy_light_skin_tone,0.100659,0.270319
🤸🏾,person_cartwheeling_medium-dark_skin_tone,0.100641,0.126093
🐓,rooster,0.100614,0.127048
♻️,recycling_symbol,0.100610,0.197499
🚤,speedboat,0.100502,0.077818
🌰,chestnut,0.100339,0.015513
🫜,root_vegetable,0.100236,0.100467
🕺,man_dancing,0.100234,0.078243
🕵🏻,detective_light_skin_tone,0.100200,0.104148
💨,dashing_away,0.100174,0.017246
🐆,leopard,0.100017,0.126100
🖐🏼,hand_with_fingers_splayed_medium-light_skin_tone,0.099932,0.016281
🧏🏻,deaf_person_light_skin_tone,0.099903,0.145996
🦖,T-Rex,0.099892,0.220005
🍆,eggplant,0.099889,0.170385
🫰,hand_with_index_finger_and_thumb_crossed,0.099854,0.126428
🤽,person_playing_water_polo,0.099767,0.186176
